Job_Title,Job_Description,company,location ,Industry,Employment_type,Job Function,Experence_Level
Senior Business Analytics & Reporting Analyst,"Overview

This position will be responsible for providing an advanced level of support to their unit (dept) working across several simultaneous projects/programs by developing new reports and dashboards, expanding on existing metrics, as well as presenting recommendations for data improvement. Represent unit (dept) in cross functional, high visibility projects involving business partners outside of the department. Responsible for streamlining ongoing activities

Primary Responsibilities
Develop and produce mid-high complexity departmental reports and spreadsheets to include but not limited to project or product strategy analysis, historical reporting, work flow analysis, and financial analysis.
Identify trends, emerging issues and engage relevant stakeholders to develop project plans, organize virtual and physical events, synthesize multiple points of view and communicate findings utilizing such tools as white papers, reports and other relevant formats.
Perform complex analysis and judgment based work over multiple disciplines to support business decisions
Go beyond basic reporting and delivery with the ability to analyze large amounts of data and information to provide meaningful insights and professionally communicate those insights to management.
Drive continuous improvement of existing processes, develop new processes or enhance existing processes where required including maintenance plans, procedural documentation and custom tools for automation. Identify resources that can be utilized to support business operations or improve existing business processes. Provide input and recommendations to management.
Participate in the planning and implementation of new projects, programs, and plans to achieve short and long term business objectives; coordinate of the design and execution of various projects for the promotion and maintenance of the business.
Take a lead role in supporting departmental audits including user recerts, compliance testing.
Manage the planning, testing, and implementation of new projects, systems, products and regulatory changes impacting the unit (dept).
Act as lead for departmental system support, coordinating with business partners, vendors and technology to address issues for the unit (dept).
Experience and Education Required:
Bachelors and a minimum of 3 years related business line experience,

OR in lieu of a degree,

A combined minimum of 7 years higher education and/or work experience.
LocationBuffalo, New York, United States of America",M&T Bank,,,,,
"Sr. Manager, Business Analytics & Insights","The Sr. Manager Business Analytics will support a large national customer and be a critical role on this center of excellence team responsible for leading the market research work that will inform the business case development for further expansion of Coca-Cola Freestyle. Along with leading the 3rd party research design and sell in this individual will be responsible for cross functional dashboard development and adhoc analysis designed to quickly isolate indicators for opportunity or for the Coca-Cola Freestyle outlets. In a world where knowledge is power and data can be leveraged to accelerate growth this will be a pivotal role for the team going further faster. Travel is required 25-30%.
Conduct a situation assessment of the consumer, operational, competitive and other dynamics that are influencing performance in the market place (starting with three-test markets and expanding for rollout. Analyze these data and develop insights, implications and context for marketing planning.
Build a marketing plan (using the strategy developed thus far) that will stimulate consumer interest and action that will increase sales, cash flow and perception sufficient to compel investment in expanding beyond the test to an expanded rollout.
Deliver a successful test market that demonstrates the vitality of fountain soft drink category growth potential to earn heightened advocacy and agreement for expanded distribution of Coca-Cola Freestyle across the chain
Demonstrate how fountain soft drink marketing can progress beyond product-based benefits to a more robust and profitable interaction-based benefit structure.
Lead development of a marketing plan to support the roll-out based on learnings from the test
Work with customer to make Coca-Cola Freestyle a strategic priority and ownable point of differentiation vs competition

Qualifications

Education Required: MBA or equivalent work experience

Related Work Experience: 15+ years, with analytical experience, classical marketing training and experience, work with agencies (directly). Demonstrated experience: imagining new solutions, embracing innovative marketing process and programing, understanding and being facile with digital and social media milieu and cognizance of the trend and its role in creating relevance.

Technical Skills Required
Brand Marketing Strategy: Practiced experience of developing brand engagement through interaction vs consumer acquisition through the more traditional linear adoption process.
Marketing Research Application: Ability to develop, design, conduct, and mine research for findings that generate actionable insights to advance the core marketing strategy and further grow the business
Marketing Concepts: Knowledge of and ability to Imagine, develop and apply basic marketing concepts (e.g., brand positioning, brand architecture, SWOT Analysis, competitive assessment, marketing objectives/strategies, consumer segmentation) used in the development of marketing plans.
Trend Analysis: Knowledge of and ability to gather, interpret and apply multiple consumer/industry insights and trends used in the development of marketing strategies and programs.
Brief Development: Ability to deeply frame problems utilizing data to draw insights and translate insight into briefs
Creative Concept Evaluation: Ability to evaluate concepts and executions against requirements of brief, strategic alignment, and consumer impact.
Marketing Tools/Information: Knowledge of and ability to use marketing tools/information to identify and define consumer/marketplace opportunities.
Sales Strategy/Execution: Ability to apply marketing strategies to sales management initiatives. Ability to draft compelling presentations, sell and engage with local agencies, Operators, and Headquarter staff to sell in the plan.
Retail Industry: Knowledge of the retail industry (e.g., retailers, competitors, trends, visual merchandising, general business environment) related to multiple channels of distribution (e.g., mass, supermarket, convenience and petroleum, category chains, gifts and specialty).

Our Growth Culture

One of the reasons our company continues to thrive after 130+ years is having a company culture that supports and rewards behaviors that lead to growth. Our “Growth Behaviors,” as we call them, are ways of being and working that help to make us successful. Think about how you can bring this to life in your next role at Coca-Cola.

Curious
Keep seeking, never settle. Staying curious about what is outside, and two steps ahead inspires us to challenge the status quo. Having the courage to look and leap is the way we grow. Because asking “what if?” pushes us to the next level as people and as a company.

Empowered
Make it happen. True empowerment is the result of taking responsibility. This means giving yourself permission to see it, say it and do it, and owning the outcomes. Because we move forward faster when we all take action.

Version 1.0, 2.0, 3.0
Push for progress, not perfection. There are very few overnight successes. Greatness is borne of many little victories (and failures). Share v 1.0, test it, and make it better. Then create the next version. Because the moment we think something is perfect, it will be obsolete.

Inclusive
Include, value and trust each other. We are smart alone but together we are genius. This means being inclusive, giving the benefit of the doubt and being responsible for each other. Because, for our company to thrive for the next 100+ years, smart isn’t enough. We need genius.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.",The Coca-Cola Company,,,,,
"Analyst, Business Analytics & Strategy","Job ID: 172100
Location Name: CA-FSC SF Off (0174)
Address: 525 Market St, 32nd Floor, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type (Regular/Temporary): Regular
Job Function: Marketing

Your role at Sephora: You will play a critical role in helping the organization understand the drivers of business performance, including the interaction between our clients and our beauty advisors in store, beauty advisor education / training, and people analytics for our HR department. This position reports to Business Analytics & Strategy leadership, supporting top initiatives for Sephora by providing insights and recommendations to the executive team and cross functional partners.

The ideal candidate is data-savvy and has an intellectual curiosity to drill deep to uncover business drivers and present insightful, actionable recommendations to the business. We are looking for a data ninja that has strong technical skills, can mine data for insights and present back key findings clearly and effectively. This candidate can successfully build collaborative partnerships across the organization, independently manage projects, and work together with other analytics team members and leadership. The ability to concurrently work on multiple ad hoc and longer-term projects and flexibility to shift focus areas as needed is also key.

In Addition, You Will
Transform business questions into fact-based analyses that deliver clear insights and actionable recommendations
Design and execute complicated and structured analyses from beginning to end, resulting in accurate and impactful findings for the organization
Design and evaluate controlled tests (test & learn) to evaluate the impact of strategic initiatives
Work closely with product management and engineering teams to help optimize data structure and validate data integrity
Execute plans to gather data and develop practical solutions through qualitative and quantitative analyses
Automate reporting to be self-serve and improve processes to increase efficiency
Coordinate analysis for select cross-functional initiatives (e.g. new format roll-outs, launch strategy for new business opportunities)
Demonstrate our Sephora values of Passion for Client Service, Innovation, Expertise, Balance, Respect for All, Teamwork, and Initiative.

We’re Excited About You If You Have
2+ years of experience in an analytical, strategic role
Technical skills: Strong SQL coding skills required (can join/merge data sets with complex relationships); Moderate/Advanced Tableau skills (or comparable data visualization tool) required. Advanced Excel and Moderate/Advanced PowerPoint skills required
Strong analytical skills with ability to perform complex analyses to generate data driven insights
Ability to serve as an outstanding problem-solver with excellent business acumen and critical thinking skills
Great attention to detail and accuracy
Work independently, appropriately escalate or ask for help, and simultaneously manage multiple projects
Comfortable managing ambiguity, navigating organizational complexities and being flexible to respond to changing needs and priorities
High energy, positive attitude. Strong integrity and respect for others.
Experience with client analytics preferred; and experience in retail a plus
Experience with APT software a strong plus
Experience with LMS and Human Capital Management systems (i.e. Success Factors) a strong plus

You’ll Love Working Here Because
The people. You will be surrounded by some of the most talented, supportive, smart, and kind leaders and teams - people you can be proud to work with.
The product. Employees enjoy a product discount and receive free product (“gratis”) various times throughout the year. (Think your friends and family love you now? Just wait until you work at Sephora!)
The business. It feels good to win - and Sephora is a leader in the retail industry, defining experiential retail with a digital focus and creating the most loved beauty community in the world…with the awards and accolades to back it up.
The perks. Sephora offers comprehensive medical benefits, generous vacation/holiday time off, commuter benefits, and “Summer Fridays” (half-days every Friday between Memorial and Labor Day)…and so much more.
The LVMH family. Sephora’s parent company, LVMH, is one of the largest luxury groups in the world, providing support to over 70 brands such as Louis Vuitton, Celine, Marc Jacobs, and Dior.

Working at Sephora’s Field Support Center (FSC)

Our North American operations are based in the heart of San Francisco’s Financial District, but you won’t hear us call it a headquarters - it’s the Field Support Center (FSC). At the FSC, we support our stores in providing the best possible experience for every client. Dedicated teams cater to our client’s every need by creating covetable assortments, curated content, compelling storytelling, smart strategy, skillful analysis, expert training, and more. It takes a lot of curious and confident individuals, disrupting the status quo and taking chances. The pace is fast, the fun is furious, and the passion is real. We never rest on our laurels. Our motto? If it’s not broken, fix it.

Sephora is an equal opportunity employer and values diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, ancestry, citizenship, gender, gender identity, sexual orientation, age, marital status, military/veteran status, or disability status. Sephora is committed to working with and providing reasonable accommodation to applicants with physical and mental disabilities.

Sephora will consider for employment all qualified applicants with criminal histories in a manner consistent with applicable law.

Company Overview

SEPHORA has been changing the face of prestige cosmetics since its debut in 1970s Paris. Sephora was acquired by luxury group Moët Hennessy Louis Vuitton (LVMH) in 1997 then launched stateside in 1998, and is currently home to 200 world-class brands - including its own private label, SEPHORA COLLECTION. Sephora's curated assortment features more than 14,000 products including makeup, skin care, perfume, hair care, body, professional tools and more. Sephora is the beauty education hub, offering consultations at the Beauty Studio, a variety of complimentary classes, one-on-one service from Personal Beauty Advisors, and exclusive retail technology SKINCARE IQ, COLOR IQ, and FRAGRANCE IQ. Sephora is an international force in beauty, and its award-winning website and ever-growing presence on social-media make it the world's premier digital beauty destination.",SEPHORA,,,,,
Business Insights Analyst,"Overview

The Business Insights Analyst position is responsible for collaborating across all business areas in the company to drive strategic growth initiatives through data driven innovation, process enhancement, and prioritization of action-oriented analytics projects. The position works closely with each operational business team to gather requirements for reporting, testing, modeling and data mining exercises, then incorporates all factors of analyzing, tracking, and rationalization to recommend solutions to our business.

Founded in 1978, The Container Store is the nation's original and leading retailer of storage and organization products, offering innovative and multifunctional solutions designed to simplify customers' lives, save space and, ultimately, save time. The Container Store has locations from coast to coast and a thriving online business.


What We Stand For
What you do matters. Experience The Container Store's employee-first culture where you are appreciated, valued, and empowered to work together for a higher purpose. We create exceptional customer service experiences while fulfilling our customer's storage and organization needs and living out the values of our 7 Foundation Principles.



Responsibilities


Develops and supports the Company BI and self-service analytics strategy, including the analysis of sales, profit, inventory management, payroll and marketing performance

Interacts with multiple business departments including Store Leadership, Finance, Buyers, Inventory Planners, Marketing and the Distribution Center

Curates data and insights into a format that can easily tell the story through concise verbiage and visualizations

Utilizes proficiency of data and systems to translate routine and complex requests for proper usage of reporting techniques and systems usage

Responsible for the investigation, validation and cleansing of data sources to ensure the clear and accurate communication of data insights to the applicable audience

Acquires data from multiple sources using business intelligence (BI) and database tools such as MicroStrategy, Oracle, Salesforce, etc.

Responsible for leading the Test & Learn Center of Excellence (CoE) process including the evangelism of Test & Learn to the organization, test design, governance, metrics tracking, and measures of success

Leads strategic and tactical analytics and reporting projects from end-to-end using the Agile Scrum project methodology, including the development, communication and maturation of business requirements

Collects, analyzes and conveys end-user feedback enabling prioritization of enhancements to standard reports

Responsible for developing, deploying and training of any new report or dashboard on multiple platforms including email, web and mobile

Maintains and reviews standard reporting processes and identifies areas for continuous improvement

Produces and analyzes performance trends and make recommendations to the applicable audience

Serves as the first point of contact for incoming data requests and systems questions from business users



The Benefits of Working Here

Our benefits exemplify our commitment to an employee-first culture, ensuring employees and their families are well taken care of, safe and secure. Some of our benefits include:


Competitive Pay

Medical/Dental/Vision Plans

Discount: 50% on elfa, 40% on Merchandise and Gift Cards, 30% on Installation

Paid Time Off plus Holidays

401(k) plan and discretionary match a

Employee First Fund: providing grants to employees experiencing unforeseen emergencies",The Container Store,,,,,
Business Analytics Consultant - 62574BR,"Job Description

This position is located in the International Health Services division and is responsible for managing and completing complex reporting and analytics projects that support the International Business Teams. The person will retrieve, organize, perform analysis and present results on data pertaining to utilization and claim / fee billing.

Fundamental Components
Ability to interact with business staff to draw out their requirements.
Solves complex problems and takes a new perspective on existing solutions.
Consults on the creation of analytics solutions that effectively weigh business and technical tradeoffs using an intermediate understanding of business strategy as well as relevant big data environment topics.
Consults with internal clients to identify opportunities to implement data science solutions to business problems at an intermediate level.
Develop data/reporting tools to measure and visualize the results.
Presents complex information in a way that multiple levels within an organization can understand and utilize.
Create Hospital/Provider level analytics for contracting/re-contracting, particularly with carve outs.
Build consistent standard and ad hoc reporting processes to satisfy Health Service’s needs.
Acts as an analytics product owner translating business needs into analytics projects and actions.

Background Experience

Knowledge of healthcare data, metrics, systems and standards.
Demonstrated ability to research, capture, cleanse, and visualize data.
Comfortable working with large data sets to report results and/or develop key findings to be reported to a variety of audiences.
SQL and SAS programming abilities in data warehouse or big data analytics environment, including use of statistical analysis techniques or business intelligence application development.
Strong problem solving skills and critical thinking ability.
Understanding of relational databases, data systems, data warehouses and Big Data.
Strong reporting skills using Excel, Access, Word, Tableau, Power BI and/or PowerPoint.

Additional Job Information

Analytical and planning skills. Negotiation/influencing skills. Organizational skills. Time management skills. Critical thinking skills. Oral and written communication skills.
Job Group
Management
Primary Location (City, State)
CT-Hartford
Additional Locations
CT-Hartford, FL-Plantation, NY-New York
Potential Telework Position
Yes

Percent Of Travel Required

0 - 10%
Full or Part Time
Full Time

Supervisory Responsibilities

No
EEO Statement
Aetna is an Equal Opportunity, Affirmative Action Employer

Benefits Program

Benefit eligibility may vary by position. Click here to review the benefits associated with this position.
Candidate Privacy Information
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.
Resource Group
2
Req#
62574BR","Aetna, a CVS Health Company",,,,,
Business Analytics Analyst,"Zibby is looking for an experienced and enthusiastic Business Analytics Analyst. Our team is growing and is looking for an individual who thrives in extracting, developing, implementing and interpreting raw data in order to derive valuable insight for Zibby’s internal team and partners. These insights will be used for decision making, performance measurement and strategic planning across high levels of the business. This position will be based in Plano, TX 

Our company is scaling quickly and it is a great time to join as we build for the future.

Why Zibby? Zibby, is a mission-driven financial technology company with big plans to remake finance from the bottom-up. We build payment products that give 48% of the US population with low and evolving credit a way to get the products they need, from the retailers they choose, online or in-store. We are well-funded by top VC’s and equity partners and led by a team of experienced entrepreneurs and business leaders.

How You Will Make A Difference Every Day:

·    Maintain and enhance current reporting data including operations and performance data

·    Provide periodic analysis on operational activities and trending insights to drive business change

·    Build for the future by supporting reporting efficiencies and automation as we grow

·    Maintain SOP and support for Business Analytics activities to keep us moving forward

·    Assist with ad-hoc deep dives and custom requests that drive business decisions

·    Partner across business functions to create new models and reporting to enhance decision making

Tools That Will Make You Successful:

1.   Bachelor’s degree in Analytics, Computer Science, Business or
Economics. Experience can be substituted in lieu of educational
degree.

2.   Results-driven and ability to handle multiple projects - “own it!”

3.   Strong interpersonal and time-management skills

4.   Presentation capabilities

5.   Strong Excel skills and proficient in Microsoft Office Suite Required

6.   Knowledge of SQL or similar data analytics tools (preferred
not required)

7.  Problem solving, detail oriented and collaboration mentality


What Zibby Offers You:

·    Fast paced environment where no two days are alike!

·    An environment where you will be able to create and
motivate others to be the best that they can be!

·    The opportunity to perform your duties extraordinarily. Our team rises to outperform and consistently beat our best for even
better!

·    Casual dress code

Strong team and culture that allows you to have immediate impact

·    Competitive benefits package, including health, dental, life
insurance, 401 K, and generous flexible time off policy.  

·    Base salary plus performance-based bonus

·    Opportunities to grow and develop!

Other Duties

Please note these job duties is not designed to cover or contain a comprehensive listing of activities, duties or repsonsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

All employment decisions shall be made without regard to sex, sexual orientation, gender identity or expression, race, color, religion, national origin, ancestry, genetic information, citizenship, age, disability, pregnacy, genetics, veteran status, or any other protected status under applicable federal, state, or local laws.

EOE",Zibby,,Financial Services,Full-time,Analyst Finance Strategy/Planning,Entry level
Sr. Business Analytics Analyst - Dallas,"Herff Jones, A Varsity Achievement Brand, is looking to add a Sr. Business Analytics Analyst to our team. This role will play a crucial role in building the sales operations function at Herff Jones. This position will play a key role in transforming the way we understand and manage the business. The person in this role will be uniquely positioned to add value by bringing support to sales leaders and working with Business Intelligence (“BI”) to ensure actionable insights are distributed and communicated, ultimately helping to grow the business. What we want you to accomplish:
Design and implement efficient tools to communicate the ‘what’ AND ‘why’ of sales performance to the leadership team and the sales management team.
Work closely with the BI team to improve the effectiveness of sales reporting and analytics available within sales and sales operations.
Draw deep insights and analytics to drive sales performance while striving to build a scalable reporting infrastructure for sales leadership.
What you'll do on a daily basis:
Design, maintain and monitor sales performance reporting for the enterprise.
Develop and report key sales performance metrics, deliver insights and recommendations to sales leaders and management.
Performs deep analysis of historical performance and develops findings into data visualizations or automated reports.
Partners with plant management and finance to strengthen and enhance forecasting processes.
What you'll bring to the table:
Ability to thrive and work independently in an unstructured environment while prioritizing effectively.
Displays relentless curiosity and possesses a passion for bringing new ideas and turning them into action.
Strong communication skills and experience working with cross-functional teams.
Strong data analysis skills: experience with SQL, Excel power user required.
Data science skillset is a plus, R modeling experience preferred.
Experience developing dashboard and KPI’s in Power BI, Tableau or other data visualization tools.
3+ years’ experience in business intelligence or intensive analysis.
Bachelor’s Degree in Business, Engineering, Computer Science, or Applied Analytics or Related Field
Masters Degree Preferred
ABOUT HERFF JONES
Indianapolis-based Herff Jones is the leading provider of graduation and educational products and services designed to inspire achievement and create memorable experiences for students. A division of Varsity Brands, Herff Jones’ products include class rings and jewelry, caps and gowns, yearbooks, diplomas and announcements as well as motivation and recognition programs. Focused on building long-term relationships through a nationwide network of over 2,000 employees and sales partners, the professionals at Herff Jones have been helping elevate the student experience throughout the lifelong journey of education for more than 99 years. For more information about Herff Jones or Varsity Brands, please visit www.herffjones.com or www.varsitybrands.com. Herff Jones, Inc. and its affiliates are equal opportunity employers and maintain affirmative action plans to recruit, retain, develop, and promote qualified individuals without unlawful consideration of race, gender, color, religion, sexual orientation, national origin, age, disability, citizenship status, veteran status, or any other characteristic protected by federal, state or local law. Herff Jones strives to maintain a work environment free from unlawful discrimination and harassment, where associates are treated with respect and dignity.",Herff Jones,"Dallas, TX, US",,,,
Business Analytics Senior Manager,"It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.

The Business Analytics Senior Manager is responsible for overseeing Cigna’s annual HEDIS (Healthcare Effectiveness Data and Information Set) process for its commercial and Marketplace business (non-Medicare/Medicaid), ensuring that all aspects of HEDIS implementation are timely and well-executed.

As an Agile organization, this individual will act as the HEDIS “Product Owner” within our Agile delivery framework by providing leadership, prioritization and coaching to the broader HEDIS Agile team that includes an IT development team.

Key Responsibilities
Manage all aspects of the annual HEDIS reporting project (excluding medical record review activities).
Be accountable for development and delivery of HEDIS data in alignment with NCQA and Auditor guidelines, vendor requirements, and internal stakeholder needs.
Ensure compliance with the HEDIS Audit and other governmental regulatory requirements.
Assure the timely submission of HEDIS data and supporting documentation to NCQA and others as required by regulators.
Ensure final results are accurate, complete and submitted within defined deadlines.
Support our internal partners that are accountable for executing on the medical record review activities required for HEDIS reporting.
Be accountable for reporting results to management, along with timely identification of risk and opportunities.
Manage a team of 5 HEDIS data analyst.
Serve as key contact to Cigna's external HEDIS vendor.
Serve as team member for activities focused on HEDIS performance improvement.
Identify opportunities for improvement in the efficiency and effectiveness of the project, and recommend process improvements.
Stay informed of future developments both internal and external to Cigna that may have an impact on the project, and take appropriate actions.

Qualifications
Bachelor’s degree and at least 8 years’ experience in a health plan-related field, or equivalent work experience.
Preferred experience in a supervisory role.
Preferred knowledge of NCQA HEDIS data collection and reporting requirements and processes.
In depth knowledge and experience overseeing, managing, and/or implementing data collection and reporting.
Preferred experience working within an Agile organization.
Experience working with data management and reporting vendors.
Experience and expertise in quality data analysis, measurement, and reporting.
Skilled in managing large projects with multiple elements and expectations
Skilled in analytical reasoning and interpretation and evaluation of complex information and problems.
Ability to guide others in adhering to deadlines and meeting timeliness expectations.
Ability to work independently and as part of a team
Strong communication skills: oral and written
Qualified applicants will be considered without regard to race, color, age, disability, sex (including pregnancy), childbirth or related medical conditions including but not limited to lactation, sexual orientation, gender identity or expression, veteran or military status, religion, national origin, ancestry, marital or familial status, genetic information, status with regard to public assistance, citizenship status or any other characteristic protected by applicable equal employment opportunity laws.If you require an accommodation based on your physical or mental disability please email: SeeYourself@cigna.com. Do not email SeeYourself@cigna.com for an update on your application or to provide your resume as you will not receive a response.",Cigna,"Home, WA, US",,,,
"Sr. Finance Analytics, Business Strategy & Analytics","The RealReal is leading the way in authenticated luxury consignment, online and in real life at our brick and mortar locations. Founded in 2011, we’re growing fast and fundamentally changing the way people buy and sell luxury — a multi-billion dollar industry. With a team of in-house experts who inspect every item we sell, our commitment to authenticity sets us apart and creates a foundation of trust with shoppers and consignors. Our mission to extend the life cycle of luxury items is leading innovation in sustainable fashion. We’re proud to promote the circular economy and to be the first luxury member of the Ellen MacArthur Foundation’s prestigious CE100 USA.

Employees at The RealReal are dedicated, collaborative and innovative, and we’re looking for exceptional talent to join our team. Build your career with us and enjoy 401K matching, health, dental and vision insurance, commuter flex spending, healthcare flex spending, generous PTO, a mother’s room, flexible work hours!

The goal of the Business Intelligence team is to drive business value through the innovative use of data. The full potential of data in e-commerce has yet to be realized and our challenge is to continuously create new ways to leverage data to add value to our customers and consignors.

As a member of the BI team, you will effortlessly navigate between the ‘what’, the ‘why’ and the ‘so-what’ of data & analytics. You will be a key partner to our Finance team to understand the current state of the business and uncover opportunities for growth.

This position is based out of San Francisco, CA and reports to the Head of Business Intelligence.

Duties & Responsibilities
Be the lead data partner to our finance team to execute monthly financial reporting and be the lead data expert for annual audits – Your team is the source of truth for our financials.
Pioneer new tech and methodologies that will move the needle.
Create, manage, and maintain critical KPIs and dashboards for stakeholder s
Spearhead architecture builds that will create a more sustainable financial structure for this next stage of our company
Champion automation projects across the financial data flow that include monitoring changes to our underlying data model that could impact financial reporting and building data structures to enable audit and reporting.
Drive selection and automation of KPIs, reporting, and analytics.


Requirements
5 years of related experience with a Bachelor’s degree; or 3 years and a Master’s degree; or equivalent experience in an analytics, finance, engineering or management consulting field.
Mastery of SQL (BigQuery, SQL Server, MySQL, Postgres)
Proficient in Python or other scripting language
Experience with data visualization tools (Looker, Tableau, Amplitude, Google Analytics)
Familiarity with database designs and optimizing query performance.

The RealReal is committed to providing an equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or expression, or Veteran status. We will consider qualified applicants for a position regardless of arrest or conviction records, consistent with legal requirements.",The RealReal,,,,,
Lead Business Intelligence & Analytics,"We are AAM. We have the POWER to move the world.

At AAM, we're looking for associates who push boundaries and drive solutions for the future. Innovators. Thinkers. Dreamers. Doers. No matter the role or function, every associate is a piece of what makes AAM great. Weâre growing and building #TeamAAM to be the best. Join us!

Job Posting Title
Lead Business Intelligence & Analytics

Job Description Summary

The Business Intelligence Lead is responsible to lead the AAM Business Intelligence and Analytics department. He/She is responsible for defining business intelligence requirements for individual subject areas; developing conceptual data models; design, build, and test sets for analytic business intelligence programs. Assist business users to identify trends and gain insight into business issues, and recommend solutions which enable the business to take meaningful actions.

Job Description
Learn business processes. Identify areas of improvements. Provide recommendations to streamline business processes.
Participates in or supports workstream planning process
Work on Major Projects and Responsible for Deliverables.
Willing to Periodically Work Evenings/Weekends to Support critical projects/launches.
Understanding of various Analytics tools such as Power BI, Tableau, Qlick.
Understanding common data science toolkits, such as R, Python etc.
Expert of OBIEE, RPD, ETL, Star Schema, Facts and Dimension modeling, and Oracle Analytics Applications.
Able to understand data in the underlying source systems. Connect data points into more meaningful answers
Coach and mentor business users and empower them to make them self-sufficient in the Analytics areas
Support Business users to help them to find answers / recommend what actions to be taken
Processing, cleansing, and verifying the integrity of data used for analysis
Ready to learn Cloud Service environments, AWS, Snowflake, and other advanced tools.
Willing to learn new tools and technologies.
Works with internal and external customers and IT partners to gather and validate requirements.
Develops and writes business requirements for the design of solutions.
Researches business problems and assists in the creation of models that help analyze these business problems
Develops, executes, and documents user test plans
May coordinate activities of vendors/consulting firms responsible for any AAM systems/projects.
Adheres to AAM IT Standards, Procedures and Policies. Â
Responsible to meet with business users to discuss project requirements
Develop project scope
Develop and implement best solutions
Work with project management team during all project phases
Develop and Implement test cases and rollout plans
Conduct users acceptance testing and production launches of new implementations
Ability to handle multiple projects in parallel
Develop and Implement Capacity Planning Process
Strong working knowledge of major implementations and customization
Participate in On-call Rotation, after-hours meetings
All other duties as assigned.

Required Skills And Education
Bachelorâs Degree (Computer Science, Business)
10 years professional experience
OBIEE RPD, Repository creation and maintenance Knowledge
OBIEE Subject Areas and dashboards Creation/modification
OBIA Oracle Out of Box Analytics
Facts, Dimensions, Star Schema Expertise
Building Custom ETL solutions
OBIEE metrics, reports, charting / graphing techniques
Expert in writing basic SQL Queries
Experience creating/ modifying ETL Processes
Experience creating/ modifying star schemas, Fact Tables
Good BI Publisher Enterprise Experience (Data Model, Layout Model, SQL Programming)

About American Axle & Manufacturing

For over 20 years, customers around the world have entrusted AAM to design, engineer, validate and manufacture driveline, metal forming, powertrain, and casting technologies for automotive, commercial and industrial markets. Today, we are a premier global Tier 1 automotive supplier with broad capabilities across multiple product lines to deliver efficient, powerful and innovative solutions for our customers. Weâve earned the trust of our suppliers and our customers through our steadfast commitments to quality, operational excellence and technology leadership.

AAM delivers power. We deliver power literally through vehicle components, systems and innovation, but we also deliver power in ways unseen. We power our associates, their families, and the communities in which we operate. Our global team of over 25,000 associates has a clear vision of where AAM is going and how we are going to get there. After all, they are the reason we are a leader in the automotive industry. We are powering the future. We are AAM. Move with us, and join #TeamAAM.

AAM will not discriminate against any Associate or applicant for employment because of age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. AAM will take affirmative action to ensure that applicants are employed, and that Associates are treated equally during employment, without regard to their age, race, color, gender, religion, weight, height, marital status, sexual orientation, genetic history or information, gender identity or expression, disability, protected veteran status, national origin, or other characteristic protected by law. For the Disabled Job Seeker: We offer reasonable accommodations for qualified disabled individuals who are applicants for employment. To request assistance or accommodations, please e-mail aamhr@aam.com . AAM is an equal opportunity/affirmative action employer.",AAM - American Axle & Manufacturing,"Southfield, MI, US",,,,
